# OSU MPI Latency Test v5.4.3
# Size          Latency (us)
0                       1.52
1                       1.46
2                       1.44
4                       1.43
8                       1.47
16                      1.47
32                      1.53
64                      1.57
128                     2.76
256                     2.75
512                     2.80
1024                    3.03
2048                    3.44
4096                    4.17
8192                    5.55
16384                   7.85
32768                  12.98
65536                  17.22
131072                 26.82
262144                 46.40
524288                 84.41
1048576               161.66
2097152               315.10
4194304               623.63
# OSU MPI Latency Test v5.4.3
# Size          Latency (us)
0                       1.69
1                       1.58
2                       1.54
4                       1.50
8                       1.49
16                      1.50
32                      1.59
64                      1.59
128                     2.63
256                     2.68
512                     2.79
1024                    3.17
2048                    3.40
4096                    4.00
8192                    4.69
16384                   6.25
32768                  12.69
65536                  16.83
131072                 26.46
262144                 45.63
524288                 84.05
1048576               161.49
2097152               315.61
4194304               623.76
